epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,101.006,1.5165,0.77359,0.96754,0.18977,0.35264,0.231,0.08778,2.14607,2.54232,1.03087,0.0009035,0.0009035,0.0009035
58,102.631,1.45667,0.71028,0.95011,0.13425,0.81595,0.21898,0.08706,2.14779,3.03101,1.03229,0.000897313,0.000897313,0.000897313
59,104.255,1.4585,0.70127,0.96894,0.15032,0.78615,0.23519,0.09293,2.13286,3.53144,1.03074,0.000891125,0.000891125,0.000891125
60,105.833,1.35656,0.67794,0.93733,0.13512,0.85082,0.23949,0.08942,2.14738,3.05946,1.04355,0.000884938,0.000884938,0.000884938
61,107.426,1.3922,0.70667,0.9175,0.20157,0.37274,0.23381,0.08489,2.20271,2.68192,1.05249,0.00087875,0.00087875,0.00087875
62,109.176,1.43203,0.69961,0.92689,0.21841,0.42704,0.22679,0.08125,2.20643,2.64117,1.05161,0.000872563,0.000872563,0.000872563
63,110.988,1.3756,0.67483,0.95535,0.22915,0.46823,0.25436,0.09672,2.19593,2.58659,1.05593,0.000866375,0.000866375,0.000866375
64,112.628,1.40242,0.71169,0.94205,0.26999,0.44413,0.25042,0.09195,2.23384,2.33784,1.06614,0.000860188,0.000860188,0.000860188
65,114.255,1.30693,0.65361,0.93588,0.23882,0.47213,0.23363,0.08418,2.15726,2.40943,1.05703,0.000854,0.000854,0.000854
66,115.88,1.4137,0.65422,0.94217,0.21335,0.42903,0.21836,0.08151,2.13516,2.58236,1.04673,0.000847813,0.000847813,0.000847813
67,117.505,1.4011,0.67367,0.92491,0.21103,0.43779,0.21572,0.08084,2.17309,2.68545,1.05896,0.000841625,0.000841625,0.000841625
68,119.129,1.33983,0.6332,0.92422,0.15491,0.90376,0.22669,0.08559,2.17091,2.86509,1.03965,0.000835438,0.000835438,0.000835438
69,120.691,1.3059,0.63438,0.92023,0.15327,0.88741,0.21225,0.07767,2.1977,2.99463,1.0395,0.00082925,0.00082925,0.00082925
